date,interval,data_type,key
2025-09-14,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-14.zip
2025-09-15,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-15.zip
2025-09-16,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-16.zip
2025-09-17,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-17.zip
2025-09-18,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-18.zip
2025-09-19,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-19.zip
2025-09-20,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-20.zip
2025-09-21,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-21.zip
2025-09-22,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-22.zip
2025-09-23,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-23.zip
2025-09-24,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-24.zip
2025-09-25,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-25.zip
2025-09-26,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-26.zip
2025-09-27,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-27.zip
2025-09-28,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-28.zip
2025-09-29,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-29.zip
2025-09-30,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-09-30.zip
2025-10-01,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-01.zip
2025-10-01,monthly,aggTrades,data/spot/monthly/aggTrades/CTRY/CTRY-aggTrades-2025-10.zip
2025-10-01,monthly,trades,data/spot/monthly/trades/CTRY/CTRY-trades-2025-10.zip
2025-10-02,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-02.zip
2025-10-03,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-03.zip
2025-10-04,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-04.zip
2025-10-05,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-05.zip
2025-10-06,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-06.zip
2025-10-07,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-07.zip
2025-10-08,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-08.zip
2025-10-09,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-09.zip
2025-10-10,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-10.zip
2025-10-11,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-11.zip
2025-10-12,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-12.zip
2025-10-13,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-13.zip
2025-10-14,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-14.zip
2025-10-15,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-15.zip
2025-10-16,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-16.zip
2025-10-17,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-17.zip
2025-10-18,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-18.zip
2025-10-19,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-19.zip
2025-10-20,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-20.zip
2025-10-21,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-21.zip
2025-10-22,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-22.zip
2025-10-23,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-23.zip
2025-10-24,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-24.zip
2025-10-25,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-25.zip
2025-10-26,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-26.zip
2025-10-27,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-27.zip
2025-10-28,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-28.zip
2025-10-29,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-29.zip
2025-10-30,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-30.zip
2025-10-31,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-10-31.zip
2025-11-01,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-01.zip
2025-11-01,monthly,aggTrades,data/spot/monthly/aggTrades/CTRY/CTRY-aggTrades-2025-11.zip
2025-11-01,monthly,trades,data/spot/monthly/trades/CTRY/CTRY-trades-2025-11.zip
2025-11-02,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-02.zip
2025-11-03,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-03.zip
2025-11-04,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-04.zip
2025-11-05,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-05.zip
2025-11-06,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-06.zip
2025-11-07,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-07.zip
2025-11-08,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-08.zip
2025-11-09,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-09.zip
2025-11-10,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-10.zip
2025-11-11,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-11.zip
2025-11-12,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-12.zip
2025-11-13,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-13.zip
2025-11-14,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-14.zip
2025-11-15,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-15.zip
2025-11-16,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-16.zip
2025-11-17,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-17.zip
2025-11-18,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-18.zip
2025-11-19,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-19.zip
2025-11-20,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-20.zip
2025-11-21,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-21.zip
2025-11-22,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-22.zip
2025-11-23,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-23.zip
2025-11-24,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-24.zip
2025-11-25,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-25.zip
2025-11-26,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-26.zip
2025-11-27,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-27.zip
2025-11-28,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-28.zip
2025-11-29,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-29.zip
2025-11-30,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-11-30.zip
2025-12-01,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-01.zip
2025-12-02,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-02.zip
2025-12-03,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-03.zip
2025-12-04,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-04.zip
2025-12-05,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-05.zip
2025-12-06,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-06.zip
2025-12-07,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-07.zip
2025-12-08,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-08.zip
2025-12-09,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-09.zip
2025-12-10,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-10.zip
2025-12-11,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-11.zip
2025-12-12,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-12.zip
2025-12-13,daily,aggTrades,data/spot/daily/aggTrades/CTRY/CTRY-aggTrades-2025-12-13.zip
