date,interval,data_type,key
2026-06-25,daily,aggTrades,data/futures/um/daily/aggTrades/URNMUSDT/URNMUSDT-aggTrades-2026-06-25.zip
2026-06-25,daily,bookDepth,data/futures/um/daily/bookDepth/URNMUSDT/URNMUSDT-bookDepth-2026-06-25.zip
2026-06-25,daily,metrics,data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-25.zip
2026-06-26,daily,aggTrades,data/futures/um/daily/aggTrades/URNMUSDT/URNMUSDT-aggTrades-2026-06-26.zip
2026-06-26,daily,bookDepth,data/futures/um/daily/bookDepth/URNMUSDT/URNMUSDT-bookDepth-2026-06-26.zip
2026-06-26,daily,metrics,data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-26.zip
2026-06-27,daily,aggTrades,data/futures/um/daily/aggTrades/URNMUSDT/URNMUSDT-aggTrades-2026-06-27.zip
2026-06-27,daily,bookDepth,data/futures/um/daily/bookDepth/URNMUSDT/URNMUSDT-bookDepth-2026-06-27.zip
2026-06-27,daily,metrics,data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-27.zip
2026-06-28,daily,aggTrades,data/futures/um/daily/aggTrades/URNMUSDT/URNMUSDT-aggTrades-2026-06-28.zip
2026-06-28,daily,bookDepth,data/futures/um/daily/bookDepth/URNMUSDT/URNMUSDT-bookDepth-2026-06-28.zip
2026-06-28,daily,metrics,data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-28.zip
2026-06-29,daily,aggTrades,data/futures/um/daily/aggTrades/URNMUSDT/URNMUSDT-aggTrades-2026-06-29.zip
2026-06-29,daily,bookDepth,data/futures/um/daily/bookDepth/URNMUSDT/URNMUSDT-bookDepth-2026-06-29.zip
2026-06-29,daily,metrics,data/futures/um/daily/metrics/URNMUSDT/URNMUSDT-metrics-2026-06-29.zip
